NestID,BandID,startI,endI,NestFate,geometry
8177_2022_1,8177,2022-05-28,2022-06-06,0,"c(1635070.4753332, 35370.3756275533)"
8180_2023_1,8180,2023-04-19,2023-04-21,0,"c(1636150.35170467, 34586.2262365906)"
8181_2023_2,8181,2023-05-19,2023-06-12,0,"c(1636031.67566851, 37900.3933698618)"
8183_2023_1,8183,2023-05-06,2023-05-28,0,"c(1629535.94302606, 29438.4104839331)"
8184_2023_1,8184,2023-05-13,2023-06-05,1,"c(1631723.44147147, 30318.6238098166)"
8187_2023_1,8187,2023-04-30,2023-05-04,0,"c(1634847.81488755, 35441.0449512115)"
8188_2022_1,8188,2022-05-04,2022-05-28,1,"c(1652053.98253067, 16806.8313882609)"
8188_2023_2,8188,2023-05-24,2023-06-03,0,"c(1651824.29308223, 17280.0358822133)"
8189_2022_1,8189,2022-05-07,2022-05-10,0,"c(1650713.89317678, 18912.2153454862)"
8189_2022_2,8189,2022-06-12,2022-06-15,0,"c(1652896.92822373, 19342.89821351)"
8191_2023_1,8191,2023-06-01,2023-06-05,0,"c(1652763.03181499, 19746.3246901494)"
8191_2023_2,8191,2023-07-04,2023-07-13,0,"c(1652720.30844706, 19265.3142181395)"
8202_2022_1,8202,2022-05-11,2022-05-19,0,"c(1788331.22264371, 64996.576202971)"
8207_2022_1,8207,2022-05-18,2022-06-12,1,"c(1789841.65963051, 68676.6549533472)"
8208_2023_1,8208,2023-04-26,2023-04-30,0,"c(1783530.68931194, 84961.9619822089)"
8209_2022_1,8209,2022-05-23,2022-05-26,0,"c(1733832.99077787, 67263.9889036456)"
8209_2022_2,8209,2022-06-17,2022-07-05,0,"c(1732516.31933472, 64451.710418436)"
8210_2022_1,8210,2022-05-28,2022-06-22,1,"c(1732521.51000108, 65526.0288818083)"
8211_2022_1,8211,2022-05-19,2022-05-28,0,"c(1733138.85260286, 65860.2570617528)"
8220_2022_1,8220,2022-04-28,2022-05-06,1,"c(1816954.34331675, 113249.851104534)"
8220_2023_1,8220,2023-04-24,2023-04-30,0,"c(1816921.30210093, 113201.965337407)"
8220_2023_2,8220,2023-06-06,2023-06-21,1,"c(1815452.84837773, 114471.609135146)"
8223_2023_1,8223,2023-06-03,2023-06-29,1,"c(1816549.62330889, 115344.939965706)"
8224_2022_1,8224,2022-04-30,2022-05-06,0,"c(1815983.36303052, 115107.180112924)"
8225_2023_1,8225,2023-04-27,2023-05-04,0,"c(1813997.59101341, 114029.453238667)"
8225_2023_2,8225,2023-06-06,2023-06-28,0,"c(1815629.99943404, 114215.559921986)"
8226_2022_1,8226,2022-05-27,2022-05-31,0,"c(1814008.15888921, 115479.46695997)"
8260_2023_1,8260,2023-06-10,2023-07-05,1,"c(1743669.78752289, 35818.6854105092)"
8260_2022_1,8260,2022-05-23,2022-06-07,0,"c(1742292.44476511, 34313.7552516488)"
8261_2022_1,8261,2022-04-22,2022-05-12,0,"c(1744413.90443543, 36368.3543971745)"
8262_2022_1,8262,2022-04-27,2022-05-01,0,"c(1742884.54955327, 34468.0120588767)"
8263_2022_1,8263,2022-05-18,2022-06-11,0,"c(1741279.45857763, 34473.7057904179)"
8264_2022_1,8264,2022-05-25,2022-05-31,0,"c(1741932.567362, 34886.7201506403)"
8265_2022_1,8265,2022-04-24,2022-05-09,0,"c(1741560.14240862, 36691.8923801162)"
8455_2022_1,8455,2022-06-01,2022-06-16,1,"c(1940276.85863003, 104932.475913441)"
8461_2022_1,8461,2022-05-17,2022-06-12,1,"c(1949101.30237576, 67689.3181790037)"
8461_2022_3,8461,2022-08-23,2022-09-16,0,"c(1948826.02128062, 67179.0395413363)"
8471_2022_1,8471,2022-06-09,2022-06-17,0,"c(1984558.54185964, 84074.7253411242)"
8472_2022_1,8472,2022-05-19,2022-06-02,0,"c(1982696.51303635, 83123.1991166562)"
8472_2023_1,8472,2023-05-11,2023-05-31,0,"c(1982154.01582952, 84293.9731421248)"
8473_2023_2,8473,2023-06-03,2023-06-22,1,"c(1982247.69112365, 84090.9739737345)"
8473_2022_1,8473,2022-06-01,2022-06-07,0,"c(1981671.97190344, 84157.0330674081)"
8473_2022_2,8473,2022-07-12,2022-08-01,1,"c(1981184.00018301, 83716.693639435)"
8473_2023_1,8473,2023-04-24,2023-04-27,0,"c(1981113.75024332, 83799.3662792486)"
8478_2022_1,8478,2022-06-15,2022-06-18,0,"c(1953020.71463128, 65387.5065863177)"
8479_2022_1,8479,2022-06-01,2022-06-13,0,"c(1954886.38489242, 61879.8164461191)"
8483_2022_2,8483,2022-06-03,2022-06-28,0,"c(1956984.34287854, 59839.9255434482)"
8483_2022_1,8483,2022-05-13,2022-05-16,0,"c(1957312.41862171, 60117.3517955767)"
8501_2022_1,8501,2022-05-17,2022-05-24,0,"c(1924436.91809925, 59773.3823423667)"
8576_2023_1,8576,2023-06-02,2023-06-16,0,"c(1656678.18014978, 52848.4513980516)"
8577_2024_1,8577,2024-05-08,2024-05-13,0,"c(1657834.42454818, 54929.406774978)"
8577_2023_1,8577,2023-06-16,2023-07-04,1,"c(1657731.53561676, 54086.7315511958)"
8578_2024_1,8578,2024-04-22,2024-04-28,0,"c(1657210.09026551, 53785.4995344956)"
8578_2024_2,8578,2024-05-30,2024-06-15,1,"c(1656985.22765419, 52759.2544993965)"
8579_2023_1,8579,2023-05-25,2023-05-30,0,"c(1654430.65136247, 51117.6460377516)"
8579_2024_1,8579,2024-05-16,2024-06-04,1,"c(1654382.8073943, 50435.9169183199)"
8581_2023_2,8581,2023-06-06,2023-06-15,0,"c(1620097.00833144, 68094.2386989858)"
8581_2023_1,8581,2023-05-08,2023-05-13,0,"c(1619904.38423784, 69518.4499231011)"
8601_2023_1,8601,2023-05-20,2023-06-15,1,"c(1606661.21313469, 11076.9144893622)"
8602_2023_1,8602,2023-06-13,2023-06-17,0,"c(1604629.02945403, 11748.1352500902)"
8602_2024_1,8602,2024-05-06,2024-05-14,0,"c(1606058.60785824, 12244.5116276596)"
8602_2023_2,8602,2023-08-18,2023-09-09,1,"c(1606348.78797066, 12450.6359483315)"
8603_2023_1,8603,2023-05-26,2023-06-07,0,"c(1606851.58826456, 11463.2447438467)"
8604_2023_1,8604,2023-05-24,2023-06-08,0,"c(1604997.67785913, 13275.1457786437)"
8605_2023_1,8605,2023-05-06,2023-05-23,0,"c(1607204.8131847, 11370.1131121422)"
8607_2024_1,8607,2024-05-03,2024-05-07,0,"c(1655664.03562188, 45905.0075822189)"
8608_2024_2,8608,2024-06-10,2024-06-14,0,"c(1655076.83420899, 44533.1728763204)"
8609_2024_1,8609,2024-05-15,2024-05-26,0,"c(1656522.31663376, 46468.8798761006)"
8610_2024_1,8610,2024-05-02,2024-05-24,1,"c(1655393.95431718, 46718.2820246552)"
8613_2024_2,8613,2024-05-30,2024-06-13,1,"c(1656029.39268283, 46046.1412425697)"
8614_2024_1,8614,2024-05-10,2024-05-15,0,"c(1656250.19758299, 45766.5234655207)"
8615_2024_1,8615,2024-05-02,2024-05-19,1,"c(1618425.42596081, 37317.3414100141)"
8616_2024_2,8616,2024-05-25,2024-06-12,1,"c(1617366.64354499, 38612.5813232203)"
8618_2024_1,8618,2024-05-02,2024-05-26,1,"c(1618149.11131096, 37693.7240108249)"
8625_2023_1,8625,2023-05-26,2023-06-14,1,"c(1599867.65465818, 66561.6820859926)"
